priority_rank,priority_score,action_bucket,evidence_gap,status,symbol,market,research_topic,signal_to_validate,needed_input,verification_method,risk_if_skipped,blockers,task_id,source_report
59,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_070852 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_ab161fc450a3797a45be,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
60,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_070709 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_fc8f5c6b94a8ce71ae12,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
61,79,ManualReview,RiskGate,待验证,,,补齐报告证据：RunMetadata_20260603_070708 / RiskGate,重建研究风险闸门，覆盖收益、回撤、成本、稳定性、样本外和停用条件。,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,reportGapTask_aa183e902e6da9270ae9,/Users/linzezhang/Downloads/量化回测分析/2026-06-03/BacktestReport18_03062026.docx
62,77,ManualReview,RiskGate,待验证,000001,CN,盘前：五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时,五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时 港股科技 0.600 Watch Only 完整 NeedsMoreEvide nce 事件未匹配；估值缺失；QuantLab风险闸门 未通过 红利低波ETF易方达 红利低波 0.750 Watch Only 完整 NeedsMoreEvide nce 估值缺失；QuantLab风险闸门未通过 科创50 科创成长 0.750 Watch Only 完整 NeedsMoreEvide nce 估值,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_bc65c8ad9d93694bb76f,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
63,77,ManualReview,RiskGate,待验证,000688,CN,盘前：五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时,五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时 港股科技 0.600 Watch Only 完整 NeedsMoreEvide nce 事件未匹配；估值缺失；QuantLab风险闸门 未通过 红利低波ETF易方达 红利低波 0.750 Watch Only 完整 NeedsMoreEvide nce 估值缺失；QuantLab风险闸门未通过 科创50 科创成长 0.750 Watch Only 完整 NeedsMoreEvide nce 估值,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_24c66410f05f4b3f6621,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
64,77,ManualReview,RiskGate,待验证,300024,CN,盘前：五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时,五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时 港股科技 0.600 Watch Only 完整 NeedsMoreEvide nce 事件未匹配；估值缺失；QuantLab风险闸门 未通过 红利低波ETF易方达 红利低波 0.750 Watch Only 完整 NeedsMoreEvide nce 估值缺失；QuantLab风险闸门未通过 科创50 科创成长 0.750 Watch Only 完整 NeedsMoreEvide nce 估值,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_4df86555eb420d81c201,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
65,77,ManualReview,RiskGate,待验证,399986,CN,盘前：五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时,五、研究可信度评分 Name 主题 Research Confidence Score 研究等级 数据完整性 QuantLab状态 主要缺口 恒生科技ETF博时 港股科技 0.600 Watch Only 完整 NeedsMoreEvide nce 事件未匹配；估值缺失；QuantLab风险闸门 未通过 红利低波ETF易方达 红利低波 0.750 Watch Only 完整 NeedsMoreEvide nce 估值缺失；QuantLab风险闸门未通过 科创50 科创成长 0.750 Watch Only 完整 NeedsMoreEvide nce 估值,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_e6e85688905c2b326c61,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
66,77,ManualReview,RiskGate,待验证,300024,CN,"盘前：成交额进入前列但价格未转强 必须复核 十二、持仓纪律检查 纪律项 状态 说明 待确认订单 需等待 21 笔 / 4,120.00 元 重复升级观察 需检查 待确","成交额进入前列但价格未转强 必须复核 十二、持仓纪律检查 纪律项 状态 说明 待确认订单 需等待 21 笔 / 4,120.00 元 重复升级观察 需检查 待确认订单存在时，不升级同向研究状态 现金缓冲 正常 87.000% 情绪化追涨/补跌 需检查 任何单日涨跌触发的线索必须经过反方观点和 QuantLab 验证 现实现金流影响 需人工确认 报告系统无法判断生活现金流，必须由用户确 认 十三、QuantLab 验证队列 Name 验证状态 回测对象 样本区间 成本假设 模拟次数 重跑要求 风险闸门 验证结论 机器人 NeedsMoreEvide nce","RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_fd8bb4d22b3121b9346f,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
67,77,ManualReview,RiskGate,待验证,000001,CN,盘前：化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_53c620ea1b9f0c120da7,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
68,77,ManualReview,RiskGate,待验证,000688,CN,盘前：化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_52a294b3cf7459b288cb,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
69,77,ManualReview,RiskGate,待验证,300024,CN,盘前：化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_02ebdf919d65cb2c8c8a,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
70,77,ManualReview,RiskGate,待验证,399986,CN,盘前：化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,化工行业ETF易方达 NeedsMoreEvide nce 516570 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a5a6d1c51c3531daa2fb,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
71,77,ManualReview,RiskGate,待验证,000001,CN,盘前：人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_997a7c2a4736d38ab984,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
72,77,ManualReview,RiskGate,待验证,000688,CN,盘前：人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_e989855f4a84f431969f,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
73,77,ManualReview,RiskGate,待验证,300024,CN,盘前：人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_2c3762f5d1ece2e9bed1,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
74,77,ManualReview,RiskGate,待验证,399986,CN,盘前：人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,人工智能ETF易方达 NeedsMoreEvide nce 159819 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_5792bdfaa95e9694e67a,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
75,77,ManualReview,RiskGate,待验证,000001,CN,盘前：纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收,纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_13fc94a8b1d7bb27b1e4,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
76,77,ManualReview,RiskGate,待验证,000688,CN,盘前：纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收,纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_be692ac120525a86c00a,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
77,77,ManualReview,RiskGate,待验证,300024,CN,盘前：纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收,纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_c5ca1f159785f8ddd02c,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
78,77,ManualReview,RiskGate,待验证,399986,CN,盘前：纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收,纳指100ETF-Invesco QQQ Trust NeedsMoreEvide nce QQQ 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_6230517d29629270ebf7,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
79,77,ManualReview,RiskGate,待验证,000001,CN,盘前：ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认,ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_9162e7efe0191035915e,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
80,77,ManualReview,RiskGate,待验证,000688,CN,盘前：ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认,ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_1caa898bb5ce70f58b61,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
81,77,ManualReview,RiskGate,待验证,300024,CN,盘前：ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认,ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_d8399eebc76201d0a495,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
82,77,ManualReview,RiskGate,待验证,399986,CN,盘前：ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认,ProShares标普500股利贵族ETF NeedsMoreEvide nce NOBL 可用历史样本 752 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_9d334490a4405bb99c33,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
83,77,ManualReview,RiskGate,待验证,000001,CN,盘前：红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a3183ecbc6b3978e14aa,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
84,77,ManualReview,RiskGate,待验证,000688,CN,盘前：红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a9ef1d8a485f9439ce54,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
85,77,ManualReview,RiskGate,待验证,300024,CN,盘前：红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_9822f4cced22424d407b,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
86,77,ManualReview,RiskGate,待验证,399986,CN,盘前：红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全,红利低波ETF易方达 NeedsMoreEvide nce 563020 可用历史样本 157 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a7f8fbc8fb6cb286d385,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
87,77,ManualReview,RiskGate,待验证,000001,CN,盘前：芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a262d4b52506eed41587,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
88,77,ManualReview,RiskGate,待验证,000688,CN,盘前：芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_c2c442c258d676671fef,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
89,77,ManualReview,RiskGate,待验证,300024,CN,盘前：芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_ec31aa54a06fedf1f469,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
90,77,ManualReview,RiskGate,待验证,399986,CN,盘前：芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,芯片ETF华夏 NeedsMoreEvide nce 159995 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_8fb76b87f810ab20ee7b,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
91,77,ManualReview,RiskGate,待验证,000001,CN,盘前：黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_3119983720b0c5ebfde0,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
92,77,ManualReview,RiskGate,待验证,000688,CN,盘前：黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_46612ebe0fb74c4ab026,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
93,77,ManualReview,RiskGate,待验证,300024,CN,盘前：黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_4f6a696b7be9ccbe383d,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
94,77,ManualReview,RiskGate,待验证,399986,CN,盘前：黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2,黄金ETF国泰 NeedsMoreEvide nce 518800 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_2e77afad464afeca1102,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
95,77,ManualReview,RiskGate,待验证,000001,CN,盘前：恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流,恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_a2b9e9d0ffdbb4b8c969,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
96,77,ManualReview,RiskGate,待验证,000688,CN,盘前：恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流,恒生科技ETF博时 NeedsMoreEvide nce 159742 可用历史样本 723 条 申赎费/管理费/滑点/15:00收盘确认 100000次 全流程2次 Blocked 验证不足：风险闸门未通过，不能升级为操作 依据,"RunMetadata, metrics, costs, drawdown, stop/degrade conditions",Recompute risk gate and downgrade if evidence remains incomplete.,A strategy can look profitable while hiding unacceptable drawdown or cost risk.,,validationTask_161550421f941e3b08b2,/Users/linzezhang/Downloads/行研报告/6月第1周 0106-0706/1. 盘前报告_03062026.pdf
